Alert ID,Ticker,Name,Description,Time,Webhook status
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":158.7817616868,""sl"":159.377218,""rr"":""2.74:1""}}",2026-03-17T11:16:00Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.3387639462,""sl"":1.33090776,""rr"":""4.9:1""}}",2026-03-17T11:16:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.1541252821,""sl"":1.14926958,""rr"":""3.22:1""}}",2026-03-17T11:15:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.0280349654,""sl"":211.446342,""rr"":""1.75:1""}}",2026-03-17T09:10:01Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":211.6040647796,""sl"":212.220008,""rr"":""1.91:1""}}",2026-03-17T08:35:02Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":211.8320772204,""sl"":212.254042,""rr"":""0.99:1""}}",2026-03-17T06:20:04Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.1486603469,""sl"":1.15113999,""rr"":""1.16:1""}}",2026-03-17T05:50:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":159.2190658497,""sl"":159.553394,""rr"":""1.1:1""}}",2026-03-17T05:16:01Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.3319306752,""sl"":1.32868998,""rr"":""1.44:1""}}",2026-03-17T05:06:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.150580409,""sl"":1.14781104,""rr"":""1.41:1""}}",2026-03-17T05:05:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.2221502493,""sl"":211.69809,""rr"":""1.47:1""}}",2026-03-17T05:00:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":159.6524642541,""sl"":159.119721,""rr"":""2.34:1""}}",2026-03-17T04:36:00Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.3295200437,""sl"":1.33279146,""rr"":""1.46:1""}}",2026-03-17T04:26:04Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":211.963021225,""sl"":211.596192,""rr"":""0.73:1""}}",2026-03-17T01:00:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":159.2160528651,""sl"":158.786055,""rr"":""1.71:1""}}",2026-03-16T22:56:02Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.3295236919,""sl"":1.33335202,""rr"":""1.87:1""}}",2026-03-16T22:56:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.1484235257,""sl"":1.15184069,""rr"":""1.97:1""}}",2026-03-16T22:45:01Z,Webhook delivery failed — 404 Not Found
