Alert ID,Ticker,Name,Description,Time,Webhook status
4342281026,"OANDA:USDCAD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""USDCAD"",""meta"":{""pattern"":""bullish"",""c_level"":1.39132,""active"":true}}",2026-04-02T10:30:01Z,Webhook delivery failed — request took too long and timed out
4342280400,"OANDA:USDCAD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""USDCAD"",""meta"":{""pattern"":""bullish"",""c_level"":1.39132,""active"":true}}",2026-04-02T10:30:01Z,Webhook delivery failed — request took too long and timed out
4342281026,"OANDA:AUDUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""AUDUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":0.68603,""sl"":0.69132,""c_level"":0.68788,""rr"":""0.54:1"",""exit_strategy"":""geometric"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:30:00Z,Webhook delivery failed — request took too long and timed out
4342280400,"OANDA:AUDUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""AUDUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":0.68603,""sl"":0.69132,""c_level"":0.68788,""rr"":""0.54:1"",""exit_strategy"":""geometric"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:30:01Z,Webhook delivery failed — request took too long and timed out
4342281026,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.15030,""sl"":1.15897,""c_level"":1.15320,""rr"":""0.5:1"",""exit_strategy"":""fixed_mfe"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:30:00Z,Webhook delivery failed — request took too long and timed out
4342280400,"FX:GBPUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.32087,""active"":true}}",2026-04-02T10:30:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"FX:GBPUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:30:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.15030,""sl"":1.15897,""c_level"":1.15320,""rr"":""0.5:1"",""exit_strategy"":""fixed_mfe"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:30:00Z,Webhook successfully delivered
4342281026,"FX:GBPUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.32087,""active"":true}}",2026-04-02T10:30:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"FX:GBPUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:30:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"FX:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.15029,""sl"":1.15896,""c_level"":1.15319,""rr"":""0.5:1"",""exit_strategy"":""fixed_mfe"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:30:00Z,Webhook delivery failed — request took too long and timed out
4367481003,"FPMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.32086,""active"":true}}",2026-04-02T10:30:00Z,Webhook successfully delivered
4367481003,"FPMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""GBPUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:30:00Z,Webhook successfully delivered
4342280400,"FX:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.15029,""sl"":1.15896,""c_level"":1.15319,""rr"":""0.5:1"",""exit_strategy"":""fixed_mfe"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:30:00Z,Webhook delivery failed — request took too long and timed out
4367197226,"ICMARKETS:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:26:03Z,Webhook successfully delivered
4367197226,"ICMARKETS:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.15319,""active"":true}}",2026-04-02T10:26:03Z,Webhook successfully delivered
4342281026,"CRYPTO:SOLUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""SOLUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":78.676,""sl"":79.747,""c_level"":79.350,""rr"":""1.7:1"",""exit_strategy"":""geometric"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:25:01Z,Webhook successfully delivered
4342280400,"CRYPTO:SOLUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""strategy_id"":""abc_mfe_optimized"",""symbol"":""SOLUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":78.676,""sl"":79.747,""c_level"":79.350,""rr"":""1.7:1"",""exit_strategy"":""geometric"",""tp_mode"":""MFE Optimal"",""trailing_stop"":{""enabled"":false}}}",2026-04-02T10:25:01Z,Webhook successfully delivered
4342281026,"FX:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.15319,""active"":true}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"FX:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"FX:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.15319,""active"":true}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"FX:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"OANDA:AUDUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""AUDUSD"",""meta"":{""pattern"":""bearish"",""c_level"":0.68788,""active"":true}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"OANDA:AUDUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""AUDUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"OANDA:AUDUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""AUDUSD"",""meta"":{""pattern"":""bearish"",""c_level"":0.68788,""active"":true}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"OANDA:AUDUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""AUDUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342281026,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.15320,""active"":true}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bullish"",""c_level"":0,""active"":false}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
4342280400,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""abc_pattern_mfe"",""action"":""pattern_update"",""symbol"":""EURUSD"",""meta"":{""pattern"":""bearish"",""c_level"":1.15320,""active"":true}}",2026-04-02T10:25:00Z,Webhook delivery failed — 400 Bad Request
